puzzle_file,valid,makespan,duration_s
npuzzle_10x10_len1_27.txt,True,1,0.0000
npuzzle_10x10_len1_28.txt,True,1,0.0000
npuzzle_10x10_len1_29.txt,True,1,0.0000
npuzzle_10x10_len1_2.txt,True,1,0.0000
npuzzle_10x10_len1_30.txt,True,1,0.0000
npuzzle_10x10_len1_31.txt,True,1,0.0001
npuzzle_10x10_len1_32.txt,True,1,0.0000
npuzzle_10x10_len1_33.txt,True,1,0.0001
npuzzle_10x10_len1_34.txt,True,1,0.0000
npuzzle_10x10_len1_35.txt,True,1,0.0000
npuzzle_10x10_len1_36.txt,True,1,0.0000
npuzzle_10x10_len1_37.txt,True,1,0.0000
npuzzle_10x10_len1_38.txt,True,1,0.0000
npuzzle_10x10_len1_39.txt,True,1,0.0000
npuzzle_10x10_len1_3.txt,True,1,0.0000
npuzzle_10x10_len1_40.txt,True,1,0.0000
npuzzle_10x10_len1_41.txt,True,1,0.0000
npuzzle_10x10_len1_42.txt,True,1,0.0000
npuzzle_10x10_len1_43.txt,True,1,0.0001
npuzzle_10x10_len1_44.txt,True,1,0.0000
npuzzle_10x10_len1_45.txt,True,1,0.0000
npuzzle_10x10_len1_46.txt,True,1,0.0000
npuzzle_10x10_len1_47.txt,True,1,0.0000
npuzzle_10x10_len1_48.txt,True,1,0.0000
npuzzle_10x10_len1_49.txt,True,1,0.0000
npuzzle_10x10_len1_4.txt,True,1,0.0000
npuzzle_10x10_len1_50.txt,True,1,0.0001
npuzzle_10x10_len1_51.txt,True,1,0.0000
npuzzle_10x10_len1_52.txt,True,1,0.0000
npuzzle_10x10_len1_53.txt,True,1,0.0001
npuzzle_10x10_len1_54.txt,True,1,0.0000
npuzzle_10x10_len1_55.txt,True,1,0.0000
npuzzle_10x10_len1_56.txt,True,1,0.0000
npuzzle_10x10_len1_57.txt,True,1,0.0001
npuzzle_10x10_len1_58.txt,True,1,0.0000
npuzzle_10x10_len1_59.txt,True,1,0.0000
npuzzle_10x10_len1_5.txt,True,1,0.0000
npuzzle_10x10_len1_60.txt,True,1,0.0000
npuzzle_10x10_len1_61.txt,True,1,0.0000
npuzzle_10x10_len1_62.txt,True,1,0.0000
npuzzle_10x10_len1_63.txt,True,1,0.0000
npuzzle_10x10_len1_64.txt,True,1,0.0000
npuzzle_10x10_len1_65.txt,True,1,0.0000
npuzzle_10x10_len1_66.txt,True,1,0.0001
npuzzle_10x10_len1_67.txt,True,1,0.0000
npuzzle_10x10_len1_68.txt,True,1,0.0000
npuzzle_10x10_len1_69.txt,True,1,0.0000
npuzzle_10x10_len1_6.txt,True,1,0.0000
