puzzle_file,valid,makespan,duration_s
npuzzle_10x10_len1_27.txt,True,1,0.0001
npuzzle_10x10_len1_28.txt,True,1,0.0001
npuzzle_10x10_len1_29.txt,True,1,0.0001
npuzzle_10x10_len1_2.txt,True,1,0.0001
npuzzle_10x10_len1_30.txt,True,1,0.0001
npuzzle_10x10_len1_31.txt,True,1,0.0001
npuzzle_10x10_len1_32.txt,True,1,0.0001
npuzzle_10x10_len1_33.txt,True,1,0.0001
npuzzle_10x10_len1_34.txt,True,1,0.0001
npuzzle_10x10_len1_35.txt,True,1,0.0001
npuzzle_10x10_len1_36.txt,True,1,0.0001
npuzzle_10x10_len1_37.txt,True,1,0.0001
npuzzle_10x10_len1_38.txt,True,1,0.0001
npuzzle_10x10_len1_39.txt,True,1,0.0001
npuzzle_10x10_len1_3.txt,True,1,0.0001
npuzzle_10x10_len1_40.txt,True,1,0.0001
npuzzle_10x10_len1_41.txt,True,1,0.0001
npuzzle_10x10_len1_42.txt,True,1,0.0001
npuzzle_10x10_len1_43.txt,True,1,0.0001
npuzzle_10x10_len1_44.txt,True,1,0.0001
npuzzle_10x10_len1_45.txt,True,1,0.0001
npuzzle_10x10_len1_46.txt,True,1,0.0001
npuzzle_10x10_len1_47.txt,True,1,0.0001
npuzzle_10x10_len1_48.txt,True,1,0.0001
npuzzle_10x10_len1_49.txt,True,1,0.0001
npuzzle_10x10_len1_4.txt,True,1,0.0001
npuzzle_10x10_len1_50.txt,True,1,0.0001
npuzzle_10x10_len1_51.txt,True,1,0.0001
npuzzle_10x10_len1_52.txt,True,1,0.0001
npuzzle_10x10_len1_53.txt,True,1,0.0001
npuzzle_10x10_len1_54.txt,True,1,0.0001
npuzzle_10x10_len1_55.txt,True,1,0.0001
npuzzle_10x10_len1_56.txt,True,1,0.0001
npuzzle_10x10_len1_57.txt,True,1,0.0001
npuzzle_10x10_len1_58.txt,True,1,0.0001
npuzzle_10x10_len1_59.txt,True,1,0.0001
npuzzle_10x10_len1_5.txt,True,1,0.0001
npuzzle_10x10_len1_60.txt,True,1,0.0001
npuzzle_10x10_len1_61.txt,True,1,0.0001
npuzzle_10x10_len1_62.txt,True,1,0.0001
npuzzle_10x10_len1_63.txt,True,1,0.0001
npuzzle_10x10_len1_64.txt,True,1,0.0001
npuzzle_10x10_len1_65.txt,True,1,0.0001
npuzzle_10x10_len1_66.txt,True,1,0.0001
npuzzle_10x10_len1_67.txt,True,1,0.0001
npuzzle_10x10_len1_68.txt,True,1,0.0001
npuzzle_10x10_len1_69.txt,True,1,0.0003
npuzzle_10x10_len1_6.txt,True,1,0.0001
npuzzle_10x10_len1_70.txt,True,1,0.0001
npuzzle_10x10_len1_71.txt,True,1,0.0001
npuzzle_10x10_len1_72.txt,True,1,0.0001
npuzzle_10x10_len1_73.txt,True,1,0.0001
npuzzle_10x10_len1_74.txt,True,1,0.0001
npuzzle_10x10_len1_75.txt,True,1,0.0001
npuzzle_10x10_len1_76.txt,True,1,0.0001
npuzzle_10x10_len1_77.txt,True,1,0.0001
npuzzle_10x10_len1_78.txt,True,1,0.0001
npuzzle_10x10_len1_79.txt,True,1,0.0001
npuzzle_10x10_len1_7.txt,True,1,0.0001
npuzzle_10x10_len1_80.txt,True,1,0.0001
npuzzle_10x10_len1_81.txt,True,1,0.0001
npuzzle_10x10_len1_82.txt,True,1,0.0001
npuzzle_10x10_len1_83.txt,True,1,0.0001
npuzzle_10x10_len1_84.txt,True,1,0.0001
npuzzle_10x10_len1_85.txt,True,1,0.0001
npuzzle_10x10_len1_86.txt,True,1,0.0001
npuzzle_10x10_len1_87.txt,True,1,0.0001
npuzzle_10x10_len1_88.txt,True,1,0.0001
npuzzle_10x10_len1_89.txt,True,1,0.0001
npuzzle_10x10_len1_8.txt,True,1,0.0001
npuzzle_10x10_len1_90.txt,True,1,0.0001
npuzzle_10x10_len1_91.txt,True,1,0.0001
npuzzle_10x10_len1_92.txt,True,1,0.0002
npuzzle_10x10_len1_93.txt,True,1,0.0001
npuzzle_10x10_len1_94.txt,True,1,0.0001
npuzzle_10x10_len1_95.txt,True,1,0.0001
npuzzle_10x10_len1_96.txt,True,1,0.0001
npuzzle_10x10_len1_97.txt,True,1,0.0001
npuzzle_10x10_len1_98.txt,True,1,0.0001
npuzzle_10x10_len1_99.txt,True,1,0.0001
npuzzle_10x10_len1_9.txt,True,1,0.0001
npuzzle_10x10_len2_0.txt,True,2,0.0002
npuzzle_10x10_len2_10.txt,True,2,0.0001
npuzzle_10x10_len2_11.txt,True,2,0.0001
npuzzle_10x10_len2_12.txt,True,2,0.0001
npuzzle_10x10_len2_13.txt,True,2,0.0001
npuzzle_10x10_len2_14.txt,,,
npuzzle_10x10_len2_15.txt,,,
npuzzle_10x10_len2_16.txt,,,
npuzzle_10x10_len2_17.txt,True,2,0.0001
npuzzle_10x10_len2_18.txt,True,2,0.0001
npuzzle_10x10_len2_19.txt,,,
npuzzle_10x10_len2_1.txt,,,
npuzzle_10x10_len2_20.txt,True,2,0.0001
npuzzle_10x10_len2_21.txt,,,
npuzzle_10x10_len2_22.txt,True,2,0.0001
npuzzle_10x10_len2_23.txt,True,2,0.0001
npuzzle_10x10_len2_24.txt,True,2,0.0001
npuzzle_10x10_len2_25.txt,True,2,0.0001
npuzzle_10x10_len2_26.txt,True,2,0.0001
npuzzle_10x10_len2_27.txt,,,
npuzzle_10x10_len2_28.txt,True,2,0.0001
npuzzle_10x10_len2_29.txt,,,
npuzzle_10x10_len2_2.txt,True,2,0.0001
npuzzle_10x10_len2_30.txt,True,2,0.0001
npuzzle_10x10_len2_31.txt,True,2,0.0001
npuzzle_10x10_len2_32.txt,True,2,0.0001
npuzzle_10x10_len2_33.txt,,,
npuzzle_10x10_len2_34.txt,True,2,0.0001
npuzzle_10x10_len2_35.txt,,,
npuzzle_10x10_len2_36.txt,True,2,0.0001
npuzzle_10x10_len2_37.txt,True,2,0.0001
npuzzle_10x10_len2_38.txt,,,
npuzzle_10x10_len2_39.txt,,,
npuzzle_10x10_len2_3.txt,True,2,0.0001
npuzzle_10x10_len2_40.txt,,,
npuzzle_10x10_len2_41.txt,,,
npuzzle_10x10_len2_42.txt,,,
npuzzle_10x10_len2_43.txt,,,
npuzzle_10x10_len2_44.txt,,,
npuzzle_10x10_len2_45.txt,,,
npuzzle_10x10_len2_46.txt,True,2,0.0002
npuzzle_10x10_len2_47.txt,True,2,0.0002
npuzzle_10x10_len2_48.txt,,,
npuzzle_10x10_len2_49.txt,,,
npuzzle_10x10_len2_4.txt,True,2,0.0001
npuzzle_10x10_len2_50.txt,True,2,0.0001
npuzzle_10x10_len2_51.txt,True,2,0.0001
npuzzle_10x10_len2_52.txt,,,
npuzzle_10x10_len2_53.txt,,,
npuzzle_10x10_len2_54.txt,True,2,0.0002
npuzzle_10x10_len2_55.txt,True,2,0.0001
npuzzle_10x10_len2_56.txt,True,2,0.0001
npuzzle_10x10_len2_57.txt,True,2,0.0001
npuzzle_10x10_len2_58.txt,True,2,0.0001
npuzzle_10x10_len2_59.txt,True,2,0.0001
npuzzle_10x10_len2_5.txt,,,
npuzzle_10x10_len2_60.txt,True,2,0.0001
